Index,Time,velocity,voltage
702,1.404341,0,0
703,1.406307,0,0
704,1.408276,0,0
705,1.410348,0,0
706,1.412312,0,0
707,1.414270,0,0
708,1.416274,0,0
709,1.418411,0,0
710,1.420306,0,0
711,1.422383,0,0
712,1.424307,0,0
713,1.426303,0,0
714,1.428275,0,0
715,1.430270,0,0
716,1.432443,0,0
717,1.434415,0,0
718,1.436279,0,0
719,1.438481,0,0
720,1.440307,0,0
721,1.442386,0,0
722,1.444270,0,0
723,1.446276,0,0
724,1.448273,0,0
725,1.450429,0,0
726,1.452277,0,0
727,1.454524,0,0
728,1.456273,0,0
729,1.458447,0,0
730,1.460304,0,0
731,1.462462,0,0
732,1.464269,0,0
733,1.466275,0,0
734,1.468270,0,0
735,1.470277,0,0
736,1.472302,0,0
737,1.474299,0,0
738,1.476331,0,0
739,1.478275,0,0
740,1.480268,0,0
741,1.482409,0,0
742,1.484311,0,0
743,1.486402,0,0
744,1.488278,0,0
745,1.490389,0,0
746,1.492273,0,0
747,1.494379,0,0
748,1.496312,0,0
749,1.498419,0,0
750,1.500270,0,0
751,1.502274,0,0
752,1.504492,0,0
753,1.506279,0,0
754,1.508381,0,0
755,1.510253,0,0
756,1.512255,0,0
757,1.514273,0,0
758,1.516252,0,0
759,1.518256,0,0
760,1.520257,0,0
761,1.522248,0,0
762,1.524279,0,0
763,1.526258,0,0
764,1.528250,0,0
765,1.530253,0,0
766,1.532526,0,0
767,1.534273,0,0
768,1.536275,0,0
769,1.538332,0,0
770,1.540272,0,0
771,1.542279,0,0
772,1.544300,0,0
773,1.546303,0,0
774,1.548303,0,0
775,1.550377,0,0
776,1.552542,0,0
777,1.554300,0,0
778,1.556271,0,0
779,1.558274,0,0
780,1.560311,0,0
781,1.562348,0,0
782,1.564588,0,0
783,1.566596,0,0
784,1.568306,0,0
785,1.570301,0,0
786,1.572279,0,0
787,1.574274,0,0
788,1.576515,0,0
789,1.578273,0,0
790,1.580305,0,0
791,1.582276,0,0
792,1.584274,0,0
793,1.586388,0,0
794,1.588429,0,0
795,1.590272,0,0
796,1.592275,0,0
797,1.594275,0,0
798,1.596304,0,0
799,1.598277,0,0
800,1.600338,0,0
801,1.602464,0,0
802,1.604275,0,0
803,1.606301,0,0
804,1.608273,0,0
805,1.610331,0,0
806,1.612370,0,0
807,1.614464,0,0
808,1.616539,0,0
809,1.618532,0,0
810,1.620502,0,0
811,1.622337,0,0
812,1.624524,0,0
813,1.626511,0,0
814,1.628304,0,0
815,1.630380,0,0
816,1.632389,0,0
817,1.634415,0,0
818,1.636411,0,0
819,1.638269,0,0
820,1.640414,0,0
821,1.642309,0,0
822,1.644328,0,0
823,1.646390,0,0
824,1.648414,0,0
825,1.650471,0,0
826,1.652311,0,0
827,1.654272,0,0
828,1.656275,0,0
829,1.658278,0,0
830,1.660279,0,0
831,1.662532,0,0
832,1.664403,0,0
833,1.666340,0,0
834,1.668448,0,0
835,1.670272,0,0
836,1.672276,0,0
837,1.674270,0,0
838,1.676489,0,0
839,1.678275,0,0
840,1.680510,0,0
841,1.682269,0,0
842,1.684269,0,0
843,1.686278,0,0
844,1.688520,0,0
845,1.690272,0,0
846,1.692470,0,0
847,1.694429,0,0
848,1.696306,0,0
849,1.698279,0,0
850,1.700508,0,0
851,1.702275,0,0
852,1.704254,0,0
853,1.706256,0,0
854,1.708248,0,0
855,1.710269,0,0
856,1.712248,0,0
857,1.714250,0,0
858,1.716251,0,0
859,1.718255,0,0
860,1.720257,0,0
861,1.722276,0,0
862,1.724274,0,0
863,1.726269,0,0
864,1.728309,0,0
865,1.730278,0,0
866,1.732273,0,0
