Index,Time,voltage,velocity
7505,15.011563,-9600,-0.181017384
7506,15.013564,298,-0.125621945
7507,15.015555,-15496,-0.091532439
7508,15.017616,7762,-0.0531817526
7509,15.019557,-3881,0.00221368717
7510,15.021559,12981,-0.0254840329
7511,15.023561,-9945,-0.0702264979
7512,15.025563,12453,-0.0393328965
7513,15.027557,16955,-0.029745223
7514,15.029576,6000,-0.0702264979
7515,15.031555,-11935,-0.0510511622
7516,15.033557,6047,-0.00311279763
7517,15.035559,-8931,0.0181931388
7518,15.037563,14506,0.0714579895
7519,15.039585,-5133,0.0885027424
7520,15.041564,15792,0.0927639306
7521,15.043554,4616,0.105547488
7522,15.045556,4347,0.0895680413
7523,15.047657,13221,0.0842415541
7524,15.049557,7021,0.134310514
7525,15.051584,-15154,0.19290185
7526,15.053563,-17942,0.19290185
7527,15.055554,-5952,0.213142484
7528,15.057558,-1814,0.247231975
7529,15.059559,-10220,0.330325156
7530,15.061579,-9139,0.324998647
7531,15.063559,-9139,0.273864418
7532,15.065561,-10852,0.235513717
7533,15.067564,-5310,0.204620108
7534,15.069555,7419,0.152420565
7535,15.071590,13229,0.0597397201
7536,15.073582,-14082,0.0331072956
7537,15.075561,2759,0.00967076607
7538,15.077564,3144,-0.0478552692
7539,15.079555,14651,-0.0553123504
7540,15.081557,871,-0.0265493318
7541,15.083581,-14102,-0.0265493318
7542,15.085560,-11367,-0.0478552692
7543,15.087564,3697,-0.0148310643
7544,15.089555,14446,0.00967076607
7545,15.091557,-2729,-0.0116351731
7546,15.093578,16864,-0.029745223
7547,15.095557,-9492,-0.0467899702
7548,15.097561,17272,-0.0595735349
7549,15.099563,2176,-0.0553123504
7550,15.101555,-7863,-0.0361370035
7551,15.103609,17306,0.00860546902
7552,15.105576,-10428,0.0235196259
7553,15.107557,-17702,0.0565438271
7554,15.109559,11256,0.0810456648
7555,15.111561,15242,0.0767844766
7556,15.113562,-3751,0.130049318
7557,15.115583,-14605,0.116200462
