Index,Time,voltage,velocity
314,0.627984,7487,0.249584153
315,0.630000,-9231,0.257041246
316,0.631981,-7280,0.195254013
317,0.633983,898,0.130270898
318,0.635985,10448,0.12068323
319,0.637986,-5516,0.0961814001
320,0.640001,15869,0.00989234727
321,0.641982,-7274,-0.00608710665
322,0.643983,2784,0.056765411
323,0.645985,3826,0.0354594737
324,0.647987,10642,0.0354594737
325,0.650110,3736,0.0887243226
326,0.651986,7730,0.0887243226
327,0.653988,7730,0.111095563
328,0.655978,12244,0.0535695218
329,0.657981,-13288,0.0951161012
330,0.659983,-1746,0.168621585
331,0.662006,16710,0.161164507
332,0.663986,10734,0.189927533
333,0.665988,-10037,0.25810653
334,0.667978,-11776,0.225082323
335,0.669980,-969,0.205906972
336,0.671984,-17125,0.301783711
337,0.674003,17595,0.303914309
338,0.675983,16995,0.227212906
339,0.677984,-15185,0.245322958
340,0.679986,-10448,0.231474102
341,0.681979,6288,0.123879127
342,0.684006,-7339,0.168621585
343,0.685985,-15258,0.25278005
344,0.688004,-9063,0.162229806
345,0.689983,17493,0.133466795
346,0.691986,-9084,0.19844991
347,0.694021,-7296,0.0951161012
348,0.696001,3794,-0.0369807184
349,0.697981,6985,0.0205453169
350,0.699982,576,0.0642224923
351,0.701986,10957,-0.0806578845
352,0.703988,14294,-0.0881149694
353,0.705999,-5209,0.05783071
354,0.707978,6220,0.000304674933
355,0.709980,8246,-0.0742661059
356,0.711984,-13649,0.0993772969
357,0.713985,3620,0.180339843
358,0.716063,-11685,0.0684836805
359,0.717988,-11385,0.119617932
360,0.719980,15604,0.244257674
361,0.721983,-600,0.136662677
362,0.723985,-17083,0.0514389277
363,0.725987,12873,0.0993772969
364,0.728032,-11237,0.0780713558
365,0.729987,-9431,0.0130882384
366,0.731980,-7287,0.00669645658
367,0.733982,-2268,0.0248065032
368,0.735984,14828,0.0173494257
369,0.737985,2765,-0.0763967037
370,0.740074,-1523,-0.115812689
371,0.742008,-3138,-0.0923761502
372,0.743987,913,-0.123269767
373,0.745978,10963,-0.123269767
374,0.747980,15092,-0.0582866594
375,0.749981,15227,-0.0412419066
376,0.752007,-15286,-0.0582866594
377,0.753986,-16975,-0.0433725007
378,0.755988,1008,0.0226759091
379,0.757979,5385,0.0812672451
380,0.759981,6731,0.106834374
381,0.762052,-14711,0.0876590312
382,0.763988,-5315,0.0620918944
