Index,Time,motor1Vel,motor2Vel,motor3Vel,motor4Vel,subsystems::current
7374,73.741616,-868.859802,-943.315552,-805.504333,-937.03241,-0.294436872
7375,73.751621,-867.498474,-940.697571,-809.483704,-934.100281,-0.294103742
7376,73.761626,-865.718201,-943.315552,-808.331848,-935.042725,-0.293770611
7377,73.771620,-867.707947,-940.278687,-805.08551,-933.05304,-0.293437421
7378,73.781615,-864.252136,-940.697571,-807.912964,-934.100281,-0.293104291
7379,73.791602,-862.681396,-939.440979,-803.933594,-935.880493,-0.292771161
7380,73.801620,-863.309692,-941.535339,-802.258057,-936.718201,-0.292437971
7381,73.811622,-861.110535,-940.488159,-804.666626,-937.870178,-0.29210484
7382,73.821619,-863.62384,-942.477783,-804.876038,-937.451294,-0.29177171
7383,73.831622,-860.69165,-940.697571,-801.734436,-937.241882,-0.29143852
7384,73.841599,-859.434998,-942.268372,-801.315552,-935.880493,-0.29110539
7385,73.851617,-860.063354,-940.697571,-803.933594,-934.833252,-0.290772259
7386,73.861618,-857.654846,-942.268372,-802.467529,-935.671021,-0.290439069
7387,73.871626,-860.063354,-943.10614,-802.467529,-935.252136,-0.290105939
7388,73.881617,-859.64447,-941.535339,-803.514709,-937.870178,-0.289772809
7389,73.891616,-855.874634,-942.477783,-800.896667,-937.241882,-0.289439619
7390,73.901604,-857.235962,-941.325928,-797.126831,-938.498474,-0.289106488
7391,73.911618,-855.246277,-942.477783,-799.535339,-935.461609,-0.288773358
7392,73.921627,-855.665161,-941.535339,-800.896667,-936.089905,-0.288440168
7393,73.931625,-856.293518,-943.10614,-798.697571,-932.843628,-0.288107038
7394,73.941619,-853.047119,-941.849487,-799.116455,-934.62384,-0.287773907
7395,73.951620,-853.884888,-940.069275,-800.268372,-935.880493,-0.287440717
7396,73.961598,-853.884888,-940.278687,-795.660767,-936.089905,-0.287107587
7397,73.971620,-852.209351,-940.278687,-795.660767,-937.241882,-0.286774457
7398,73.981622,-852.837708,-939.859802,-796.079651,-936.508789,-0.286441267
7399,73.991617,-850.219727,-940.069275,-796.498474,-937.451294,-0.286108136
7400,74.001623,-848.439453,-939.859802,-792.100281,-935.671021,-0.285775006
7401,74.011598,-852.209351,-940.278687,-793.042725,-936.299377,-0.285441816
7402,74.021616,-849.591431,-940.907043,-796.917358,-934.62384,-0.285108685
7403,74.031620,-850.848022,-940.697571,-794.089905,-935.252136,-0.284775555
7404,74.041626,-848.230042,-940.488159,-791.262512,-935.880493,-0.284442365
7405,74.051621,-846.659241,-940.907043,-792.62384,-937.241882,-0.284109235
7406,74.061631,-848.020569,-940.278687,-790.843628,-937.03241,-0.283776104
7407,74.071616,-845.402588,-941.325928,-789.063354,-938.498474,-0.283442914
7408,74.081616,-845.193176,-941.116455,-791.681396,-937.870178,-0.283109784
7409,74.091624,-846.030945,-942.687256,-792.833252,-936.508789,-0.282776654
7410,74.101626,-843.831848,-941.325928,-788.225647,-937.03241,-0.282443464
7411,74.111617,-846.240356,-942.687256,-786.026489,-934.62384,-0.282110333
7412,74.121625,-846.659241,-941.325928,-788.225647,-935.461609,-0.281777203
7413,74.131602,-844.460144,-942.058899,-789.063354,-935.252136,-0.281444013
7414,74.141620,-844.774292,-939.12677,-787.073669,-935.042725,-0.281110883
7415,74.151622,-844.250732,-940.697571,-785.084045,-936.718201,-0.28084439
7416,74.161625,-842.051575,-940.488159,-788.225647,-935.671021,-0.2805112
7417,74.171622,-842.051575,-941.535339,-787.702026,-936.718201,-0.28017807
7418,74.181598,-843.203491,-941.116455,-786.864258,-938.289063,-0.27984494
7419,74.191618,-840.166626,-942.268372,-782.884888,-936.299377,-0.27951175
7420,74.201616,-838.805298,-942.058899,-784.036865,-936.508789,-0.279178619
7421,74.211616,-840.58551,-943.734436,-787.073669,-935.461609,-0.278845489
7422,74.221620,-839.433594,-942.477783,-784.874634,-934.309692,-0.278512299
7423,74.231597,-840.794922,-942.477783,-781.209351,-934.309692,-0.278179169
7424,74.241626,-840.376038,-940.278687,-782.675476,-935.880493,-0.277846038
7425,74.251620,-837.025024,-942.896667,-784.036865,-935.252136,-0.277512848
7426,74.261625,-838.176941,-940.907043,-780.790466,-936.718201,-0.277179718
7427,74.271621,-838.805298,-944.258057,-778.591431,-936.508789,-0.276846588
7428,74.281619,-835.558899,-941.325928,-780.266907,-936.718201,-0.276513398
7429,74.291606,-836.60614,-944.886414,-780.266907,-936.508789,-0.276180267
7430,74.301619,-836.396667,-941.116455,-779.219727,-935.461609,-0.275847137
7431,74.311625,-832.940979,-944.258057,-779.010315,-935.042725,-0.275513947
7432,74.321620,-836.60614,-940.907043,-777.439453,-935.880493,-0.275180817
7433,74.331623,-834.616455,-942.058899,-779.010315,-935.042725,-0.274847686
7434,74.341623,-831.370178,-938.707947,-777.648865,-937.660767,-0.274514496
7435,74.351618,-833.359802,-942.687256,-774.612061,-937.451294,-0.274181366
7436,74.361605,-830.218201,-939.650391,-779.429138,-938.498474,-0.273848236
7437,74.371617,-830.53241,-942.896667,-778.067749,-937.03241,-0.273515046
7438,74.381623,-832.207947,-938.917358,-773.774292,-937.660767,-0.273181915
7439,74.391626,-830.741882,-942.477783,-774.402588,-935.042725,-0.272848785
7440,74.401619,-827.809692,-939.12677,-774.821472,-936.508789,-0.272515595
7441,74.411596,-829.799377,-942.268372,-776.392334,-934.833252,-0.272182465
7442,74.421618,-828.542725,-941.116455,-773.983704,-935.880493,-0.271849334
7443,74.431622,-828.333252,-942.687256,-769.166626,-936.508789,-0.271516144
7444,74.441616,-830.53241,-942.477783,-771.575195,-937.241882,-0.271183014
7445,74.451624,-827.390808,-943.734436,-771.365784,-937.870178,-0.270849884
7446,74.461600,-824.353882,-941.849487,-770.842102,-937.870178,-0.270516694
7447,74.471625,-827.390808,-943.525024,-768.014709,-938.917358,-0.270183563
7448,74.481620,-826.971924,-942.268372,-769.794922,-937.870178,-0.269850433
7449,74.491620,-824.772766,-943.525024,-770.842102,-937.03241,-0.269517243
7450,74.501621,-824.982239,-941.849487,-767.805298,-937.03241,-0.269184113
7451,74.511597,-824.14447,-940.278687,-767.805298,-935.880493,-0.268850982
7452,74.521624,-821.107605,-940.697571,-768.014709,-937.241882,-0.268517792
7453,74.531622,-824.563354,-940.907043,-770.213806,-937.241882,-0.268184662
7454,74.541617,-823.725586,-942.687256,-765.60614,-938.498474,-0.267851532
7455,74.551624,-821.317078,-941.116455,-763.197571,-938.079651,-0.267518342
7456,74.561625,-822.154846,-942.477783,-762.569275,-938.917358,-0.267185211
7457,74.571755,-822.992554,-941.325928,-767.176941,-937.870178,-0.266852081
7458,74.581599,-820.165161,-942.477783,-766.025024,-936.508789,-0.266518891
7459,74.591625,-819.536865,-940.907043,-762.778687,-937.451294,-0.26618576
7460,74.601621,-820.584045,-943.525024,-761.207947,-935.880493,-0.26585263
7461,74.611620,-816.709351,-940.697571,-764.55896,-938.079651,-0.26551944
7462,74.621624,-816.290466,-942.477783,-762.359802,-937.241882,-0.26518631
7463,74.631624,-819.117981,-940.907043,-762.569275,-938.498474,-0.264853179
7464,74.641620,-816.499939,-942.687256,-759.53241,-938.289063,-0.264519989
7465,74.651617,-815.976379,-941.849487,-760.160767,-938.289063,-0.264186859
7466,74.661621,-816.709351,-943.315552,-760.579651,-937.03241,-0.263853729
7467,74.671622,-813.777222,-943.10614,-758.589905,-937.03241,-0.263520539
7468,74.681623,-812.939453,-942.477783,-756.181396,-937.03241,-0.263187408
7469,74.691618,-815.766907,-942.896667,-755.971924,-936.089905,-0.262854278
7470,74.701621,-814.510315,-941.535339,-760.579651,-935.461609,-0.262521088
7471,74.711617,-812.101685,-942.058899,-756.390808,-937.03241,-0.262187958
7472,74.721625,-814.719727,-941.535339,-755.55304,-937.03241,-0.261854827
7473,74.731623,-814.719727,-941.535339,-753.772766,-938.079651,-0.261521637
7474,74.741599,-812.520569,-942.058899,-755.343628,-937.241882,-0.261188507
7475,74.751616,-813.358337,-942.896667,-757.542725,-937.870178,-0.260855377
